-- HR Department (2 managers, 11 employees)
INSERT INTO storedata-009.music_data.EMPLOYEES (emp_id, name, sal, dept_id, manager_id)
VALUES
  (121, 'HR_dept_head', 95000.00, 4, NULL)
  (1, 'HR_Manager1', 70000.00, 4, 121),
  (2, 'HR_Manager2', 68000.00, 4, 1),
  (3, 'Maya', 60000.00, 4, 1),
  (4, 'Idris', 55000.00, 4, 1),
  (5, 'Juniper', 52000.00, 4, 1),
  (6, 'Quinn', 50000.00, 4, 1),
  (7, 'Willow', 48000.00, 4, 1),
  (8, 'Silas', 46000.00, 4, 1),
  (9, 'Amara', 44000.00, 4, 1),
  (10, 'Zephyr', 42000.00, 4, 2),
  (11, 'Jasper', 40000.00, 4, 2),
  (12, 'Aurora', 38000.00, 4, 2), 
  (13, 'Wren', 36000.00, 4, 2);

  -- Finance Department (3 managers, 24 employees)
INSERT INTO storedata-009.music_data.EMPLOYEES (emp_id, name, sal, dept_id, manager_id)
VALUES
  (122, 'Finance_head', 98000.00, 1, NULL),
  (14, 'Finance_Manager1', 80000.00, 1, 122),
  (15, 'Finance_Manager2', 78000.00, 1, 14),
  (16, 'Finance_Manager3', 76000.00, 1, 14),
  (17, 'Elara', 75000.00, 1, 14),
  (18, 'Zane', 73000.00, 1, 14),
  (19, 'Iris', 71000.00, 1, 14),
  (20, 'Caspian', 69000.00, 1, 15),
  (21, 'Jasper', 67000.00, 1, 15),
  (22, 'River', 65000.00, 1, 15),
  (23, 'Lyric', 63000.00, 1, 15),
  (24, 'Ezra', 61000.00, 1, 16),
  (25, 'Cielo', 59000.00, 1, 16),
  (26, 'Nova', 57000.00, 1, 16),
  (27, 'Coral', 55000.00, 1, 16),
  (28, 'Slate', 53000.00, 1, 16),
  (29, 'Rune', 51000.00, 1, 15),
  (30, 'Winter', 49000.00, 1, 15),
  (31, 'Celia', 47000.00, 1, 16),
  (32, 'Aspen', 45000.00, 1, 16),
  (33, 'Leo', 43000.00, 1, 16),
  (34, 'Ellery', 41000.00, 1, 15),
  (35, 'Oak', 39000.00, 1, 15),
  (36, 'Noelle', 37000.00, 1, 16),
  (37, 'Storm', 35000.00, 1, 16),
  (38, 'Wren', 33000.00, 1, 15);

  -- Marketing Department (5 managers, 80 employees)
INSERT INTO storedata-009.music_data.EMPLOYEES (emp_id, name, sal, dept_id, manager_id)
VALUES
  (123, 'Marketing_head', 90000.00, 2, NULL)
  (39, 'Marketing_Manager1', 85000.00, 2, 123),
  (40, 'Marketing_Manager2', 83000.00, 2, 39),
  (41, 'Marketing_Manager3', 81000.00, 2, 39),
  (42, 'Marketing_Manager4', 79000.00, 2, 39),
  (43, 'Marketing_Manager5', 77000.00, 2, 39),
  (44, 'Amari', 75000.00, 2, 39), -- asistant managers //
  (45, 'Bodhi', 73000.00, 2, 39),-- asistant managers //
  (46, 'Cleo', 71000.00, 2, 39),-- asistant managers //
  (47, 'Dakota', 69000.00, 2, 39),-- asistant managers //
  (48, 'Echo', 67000.00, 2, 39),-- asistant managers //
  (49, 'Emery', 65000.00, 2, 41),
  (50, 'Fauna', 63000.00, 2, 41),
  (51, 'Flynn', 61000.00, 2, 41),
  (52, 'Genesis', 59000.00, 2, 41),
  (53, 'Gideon', 57000.00, 2, 41),
  (54, 'Harlow', 55000.00, 2, 41),
  (55, 'India', 53000.00, 2, 41),
  (56, 'Indigo', 51000.00, 2, 41),
  (57, 'Imani', 49000.00, 2, 41),
  (58, 'Isla', 47000.00, 2, 41),
  (59, 'Jasper', 45000.00, 2, 41),
  (60, 'Juno', 43000.00, 2, 41),
  (61, 'Kai', 41000.00, 2, 41),
  (62, 'Kiran', 39000.00, 2, 41),
  (63, 'Kora', 37000.00, 2, 41),
  (64, 'Lake', 35000.00, 2, 40),
  (65, 'Laurel', 33000.00, 2, 40),
  (66, 'Leo', 31000.00, 2, 40),
  (67, 'Lilac', 29000.00, 2, 40),
  (68, 'Linden', 27000.00, 2, 40),
  (69, 'Lyric', 25000.00, 2, 40),
  (70, 'Malin', 23000.00, 2, 40),
  (71, 'Micah', 21000.00, 2, 40),
  (72, 'Nova', 19000.00, 2, 40),
  (73, 'Oak', 17000.00, 2, 40),
  (74, 'Ocean', 15000.00, 2, 40),
  (75, 'Orion', 13000.00, 2, 40),
  (76, 'Paloma', 11000.00, 2, 40),
  (77, 'Phoenix', 9000.00, 2, 40),
  (78, 'Raven', 7000.00, 2, 43),
  (79, 'Reese', 5000.00, 2, 43),
  (80, 'River', 3000.00, 2, 43);

  -- Marketing Department (5 managers, 80 employees) - Continued
INSERT INTO storedata-009.music_data.EMPLOYEES (emp_id, name, sal, dept_id, manager_id)
VALUES
  (81, 'Sage', 85000.00, 2, 43),
  (82, 'Seren', 83000.00, 2, 43),
  (83, 'Sienna', 81000.00, 2, 43),
  (84, 'Skylar', 79000.00, 2, 42),
  (85, 'Solar', 77000.00, 2, 42),
  (86, 'Stella', 75000.00, 2, 42),
  (87, 'Storm', 73000.00, 2, 42),
  (88, 'Terra', 71000.00, 2, 42),
  (89, 'Tessa', 69000.00, 2, 42),
  (90, 'Thorn', 67000.00, 2, 42),
  (91, 'Willow', 65000.00, 2, 42),
  (92, 'Wren', 63000.00, 2, 42),
  (93, 'Zephyr', 61000.00, 2, 42),
  (94, 'Zara', 59000.00, 2, 42),
  (95, 'Zuri', 57000.00, 2, 42),
  (96, 'Asher', 55000.00, 2, 42),
  (97, 'Arlo', 53000.00, 2, 42),
  (98, 'Ciel', 51000.00, 2, 42),
  (99, 'Corvus', 49000.00, 2, 42),
  (100, 'Ezra', 47000.00, 2, 42),
  (101, 'Fauna', 45000.00, 2, 42),
  (102, 'Felix', 43000.00, 2, 42),
  (103, 'Forest', 41000.00, 2, 42),
  (104, 'Iris', 39000.00, 2, 43),
  (105, 'Kieran', 37000.00, 2, 43),
  (106, 'Lavender', 35000.00, 2, 43),
  (107, 'Luna', 33000.00, 2, 43),
  (108, 'Maverick', 31000.00, 2, 43),
  (109, 'Opal', 29000.00, 2, 43),
  (110, 'Raven', 27000.00, 2, 43),
  (111, 'Skye', 25000.00, 2, 43),
  (112, 'Terra', 23000.00, 2, 43),
  (113, 'Wren', 21000.00, 2, 43),
  (114, 'Zane', 19000.00, 2, 43),
  (115, 'Bodhi', 17000.00, 2, 43),
  (116, 'Cassia', 15000.00, 2, 43),
  (117, 'Cypress', 13000.00, 2, 43),
  (118, 'Echo', 11000.00, 2, 43),
  (119, 'Flint', 9000.00, 2, 43),
  (120, 'Nova', 7000.00, 2, 43);



select * from storedata-009.music_data.EMPLOYEES
